iso3,river_flood_gmean,coastal_flood_gmean,storm_gmean,drought_gmean,heatwave_gmean,extreme_heat_gmean,fire_gmean,sand_dust_gmean,air_pollution_gmean,malaria_gmean
MLT,1.0,1.0,1.0,1.621952359602978,3.2188113842091477,1.0,2.1231608075109625,1.6350511324997061,4.661891260588852,1.0
TJK,2.9707054342340147,1.0,1.0,7.193038030118428,5.4525107478770645,6.752725962176862,2.211311593553043,3.592325652328829,8.899883844242922,2.0528428439182185
JEY,1.0,2.1824434175695933,6.596077817101655,1.1570303766827277,1.4826265588846053,1.0,1.0,1.0,4.969226102071909,1.0
TZA,2.674398582056518,2.033729983443156,1.8819953669083396,3.5675914329151683,4.3983987585249915,2.5984822319788425,4.784716367421906,2.5556003982076168,9.362095792352152,3.0899623860590504
MYT,1.0,1.1558917633363022,7.587331250628111,6.935034799186595,2.719272014354902,1.0,1.0,1.0,3.0486300162011806,1.0
SSD,6.511302274780901,1.0,1.0,7.181995583752396,8.330708456573614,8.909215774936841,8.379684244455268,2.3445793433455897,9.005751851606377,4.3247872673460686
TWN,5.622035145733157,3.6564646093936677,8.811374373885988,5.645320851629992,3.789755109469852,1.0,2.498625203461115,1.9301099655362013,8.603125790686567,1.0
PHL,4.861432014126687,4.49577974376934,9.656542634951093,7.412030909477688,3.6494544305894676,3.948754841947717,2.948262259787037,2.2628549835585834,8.550282520581906,2.4937765508897605
xPI,1.0,1.0,3.1622776601683795,1.0,1.0,,,1.0,,1.0
HKG,2.358380347745286,7.106012600671685,8.27670270093634,2.021463437731173,2.7989544681170195,1.0,1.4160893538282802,2.201119709680074,7.094861901284375,1.0
MKD,3.026008066380778,1.0,1.0,1.8948888760954032,4.9755540504082845,2.1764249940560756,3.3107578651663854,1.0,7.961653528242224,1.0
TLS,1.546129043803151,1.7402440287654493,8.029408191947166,1.4454931090969225,2.0186794877537193,1.0,2.745020089799909,1.0,7.77658066136598,3.1883292202660813
AUT,4.019435207319043,1.0,1.0,4.484105469356743,3.6882862679127832,1.0,2.0458322352813396,1.0,8.53591351994117,1.0
ARE,4.082221766931833,6.271341208287958,1.0,1.7234125614037634,4.8132201329459905,8.207768873803191,2.601965649838747,9.153158133703855,8.410959272491258,1.0
GBR,3.0301615839689986,4.084264473233118,7.485337118372565,6.387097715198507,2.9099905291295163,1.0,2.898015100184391,1.8875787592099087,9.157945611474034,1.0
